
2024/01/03 (08:23:48) | ===> btop++ v.1.2.13
2024/01/03 (08:23:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/03 (11:06:29) | ===> btop++ v.1.2.13
2024/01/03 (11:06:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/03 (11:18:55) | ===> btop++ v.1.2.13
2024/01/03 (11:18:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/03 (16:56:55) | ===> btop++ v.1.2.13
2024/01/03 (16:56:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/04 (11:29:29) | ===> btop++ v.1.2.13
2024/01/04 (11:29:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/08 (10:37:15) | ===> btop++ v.1.2.13
2024/01/08 (10:37:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/11 (19:16:00) | ===> btop++ v.1.2.13
2024/01/11 (19:16:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/18 (10:15:52) | ===> btop++ v.1.2.13
2024/01/18 (10:15:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/22 (10:55:30) | ===> btop++ v.1.2.13
2024/01/22 (10:55:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
